software_key,software_name,software_version,port_number,protocol
147,microsoft-ds 1.0,1.0,445,tcp
148,MySQL 1.0,1.0,3306,tcp
149,Microsoft Windows RPC 1.0,1.0,135,tcp
150,Microsoft Windows netbios-ssn 1.0,1.0,139,tcp
151,microsoft-ds 1.0,1.0,445,tcp
152,MySQL 1.0,1.0,3306,tcp
153,Microsoft Windows RPC 1.0,1.0,135,tcp
154,Microsoft Windows netbios-ssn 1.0,1.0,139,tcp
155,microsoft-ds 1.0,1.0,445,tcp
156,MySQL 1.0,1.0,3306,tcp
157,Microsoft Windows RPC 1.0,1.0,135,tcp
158,Microsoft Windows netbios-ssn 1.0,1.0,139,tcp
159,microsoft-ds 1.0,1.0,445,tcp
160,MySQL 1.0,1.0,3306,tcp
161,Microsoft Windows RPC 1.0,1.0,135,tcp
162,Microsoft Windows netbios-ssn 1.0,1.0,139,tcp
163,microsoft-ds 1.0,1.0,445,tcp
164,MySQL 1.0,1.0,3306,tcp
165,Service on Port 445,1.0,445,tcp
166,Service on Port 135,1.0,135,tcp
167,Service on Port 3306,1.0,3306,tcp
168,Service on Port 139,1.0,139,tcp
169,Service on Port 445,1.0,445,tcp
170,Service on Port 135,1.0,135,tcp
171,Service on Port 3306,1.0,3306,tcp
172,Service on Port 139,1.0,139,tcp
173,Service on Port 445,1.0,445,tcp
174,Service on Port 135,1.0,135,tcp
175,Service on Port 3306,1.0,3306,tcp
176,Service on Port 139,1.0,139,tcp
177,Service on Port 445,1.0,445,tcp
178,Service on Port 135,1.0,135,tcp
179,Service on Port 3306,1.0,3306,tcp
180,Service on Port 139,1.0,139,tcp
